Unnamed: 0,url,text,sentiment,publish_date,title,themes,media_id,media_url,Leaning,verified_article,corresponds_to
135,http://www.eastbaytimes.com/2017/11/06/texas-shooting-death-sweeps-across-3-generations-of-a-single-family-gathered-at-church/,trending mourners participate candlelight vigil held victims fatal shooting first baptist church sutherland springs sunday nov. 5 2017 sutherland springs texas ap photo/darren abate mourner holds candle vigil held victims fatal shooting first baptist church sutherland springs sunday nov. 5 2017 sutherland springs texas ap photo/darren abate texas state troopers erect barricade control traffic near first baptist church sutherland springs fatal shooting sunday nov. 5 2017 sutherland springs texas man opened fire inside church small south texas community sunday killing 20 people ap photo/darren abate law enforcement officers work near first baptist church sutherland springs fatal shooting sunday nov. 5 2017 sutherland springs texas ap photo/darren abate members fbi walk next first baptist church sutherland springs fatal shooting sunday nov. 5 2017 sutherland springs texas ap photo/darren abate texas gov greg abbott participates candlelight vigil victims fatal shooting first baptist church sutherland springs sunday nov. 5 2017 sutherland springs texas man opened fire inside church small south texas community sunday killing 20 people ap photo/darren abate couple comfort community center sutherland springs texas near scene mass shooting first baptist church sunday nov. 5 2017 man opened fire inside church small south texas community sunday killing 20 people jay janner/austin american-statesman via ap man wipes eyes deadly shooting first baptist church sutherland springs texas sunday nov. 5 2017 man opened fire inside church small south texas community sunday killing 20 people nick wagner/austin american-statesman via ap sutherland springs tx november 5 law enforcement officials gather near first baptist church following shooting november 5 2017 sutherland springs texas least 26 people reportedly killed 24 injured gunman identified devin p. kelley 26 entered church service opened fire photo erich schlegel/getty images mona rodriguez holds 12-year-old son j anthony hernandez candlelight vigil held victims fatal shooting first baptist church sutherland springs sunday nov. 5 2017 sutherland springs texas nick wagner/austin american-statesman via ap investigators work scene deadly shooting first baptist church sutherland springs texas sunday nov. 5 2017 man opened fire inside church small south texas community sunday killing 20 people jay janner/austin american-statesman via ap enrique gabby garcia watch investigators scene mass shooting first baptist church sutherland springs texas sunday nov. 5 2017 man opened fire inside church small south texas community sunday killing 20 people jay janner/austin american-statesman via ap sutherland springs tx november 5 law enforcement forensic officials gather near first baptist church following shooting november 5 2017 sutherland springs texas least 20 people reportedly killed 24 injured gunman identified devin p. kelley 26 entered church service opened fire photo erich schlegel/getty images sutherland springs tx november 5 forensics official passes entrance first baptist church following shooting november 5 2017 sutherland springs texas least 20 people reportedly killed 24 injured gunman identified devin p. kelley 26 entered church service opened fire photo erich schlegel/getty images sutherland springs tx november 6 law enforcement officials gather near first baptist church following shooting november 5 2017 sutherland springs texas least 20 people reportedly killed 24 injured gunman identified devin p. kelley 26 entered church service opened fire photo erich schlegel/getty images samantha schmidt |the washington post houses worship among places left families regularly gather together sometimes extended sometimes across many generations first baptist church sutherland springs texas different within walls gathered always sunday mornings three generations holcombe family related articles judge us government shares responsibility texas mass shooting least 150 people fatally shot 400 shootings fourth july weekend 8 people wounded shooting near fort worth car wash california bar shooter marine veteran hated civilians college students california handgun sales hit record high last year bryan holcombe walking pulpit sunday preparing lead audience worship gunman began spray bullets congregation holcombe associate pastor church killed gunfire parents joe claryce holcombe said interview washington post bryan holcombe wife four decades karla holcombe also church sunday died said joe holcombe bryan karla son marc daniel holcombe 36 killed joe holcombe said marc daniel infant daughter named noah holcombe according joe year old dead another son bryan karla john holcombe alive said joe wife crystal holcombe dead crystal holcombe pregnant unborn child killed crystal five children three emily megan greg died church husband john thankfully survived along two children eight members extended holcombe family dead addition unborn child joe claryce holcombe lost children grandchildren great-grandchildren future great grandchild act violence wiped generations loved ones took place space mattered church holcombes among 26 people authorities say died sunday mass shooting worst texas history morning stretched afternoon evening friends family members south texas posted facebook asking anyone heard loved ones joe claryce holcombe first heard shooting hour happened phone call member church attend different baptist church nearby floresville texas said big shooting say much joe holcombe 86 said conversation church head pastor started hear wrenching news bryan karla joe holcombe asked church pastor heaven pastor responded day went would learn others john holcombe teaches sunday school runs audio sunday services first baptist church struck shrapnel leg told joe claryce holcombe phone later day daughter remained hospitalized sunday night though mostly observation joe holcombe said injured another person fell claryce holcombe said grandparents described fantastic parents happy family. crystal holcombe home-schooled five children heavily involved church like rest family facebook reported proudly children successes competitions local 4h wrote recent bake sale girls participated benefiting families affected hurricane harvey husband john posted frequently lesson plans sunday school week lesson planned focus exodus 16 wrote facebook post describes god provided israelites food traveled 40 days desert manna heaven. bryan holcombe filling sunday church lead pastor town shooting happened according parents associate pastor involved church work ever since young knew born going preacher joe holcombe father told post first word god. first sentence see light. facebook bryan holcombe shown hoisting grandchildren shoulders dressing costumes church events playing ukulele would often play instrument sing prison inmates relative told associated press grandkids get better bryan holcombe wrote facebook one photo many grandchildren wake night prayer thank god takes wife karla lived near parents floresville sutherland springs ran business parents farm making tarps cattle trailers joe holcombe said bryan karla holcombe high school sweethearts one day high school selling roses offering deliver classrooms admirers bryan holcombe delivered rose every one karla classes day thought cute joe holcombe said karla holcombe gift hospitality mother-in-law said planned hosting family thanksgiving joe claryce holcombe retired teachers hosted group nearby pastors churchgoers home sunday waited details deceased prayed together course going difficult joe holcombe said days ahead said christians read book know ending good. heaven added lot better are. shooting first baptist church shattered scores families rural tightknit community frank pomeroy pastor first baptist church told abc news attend church service teenage daughter annabelle pomeroy 14 killed quiet shy always smiling helpful cynthia rangel 50 resident stockdale said annabelle pomeroy rangel local emergency medical technician said knew three individuals hospitalized shooting undergoing surgery seems like real. michael ward pulled wounded congregants church searched nephew three nieces sister-in-law san antonio express-news reported nephew outside four bullets said rylind ward 5 rhianna bullet broke glasses broke em said hid underneath pew get hit said 9-year-old niece sandy ward told msnbc 5-year-old grandson surgery 7-year-old granddaughter killed waited hospital sunday son wreck course imagine ward told msnbc shock. numb added whole body numb. joe claryce holcombe said still coming terms happened shooter joe holcombe said rewarded right eternity. claryce added need pray family going terrible time too. god see us joe holcombe said together soon. get morning report email newsletters,"{'neg': 0.156, 'neu': 0.759, 'pos': 0.085, 'compound': -0.9987}",2017-11-06 08:27:45,Texas shooting: Death sweeps across 3 generations of a single family gathered at church,,27512,http://www.ibabuzz.com/insider/,,not-related,
965,http://www.foxnews.com/politics/2017/11/08/pence-tells-texas-shooting-victims-will-never-leave-your-side.html,material may published broadcast rewritten redistributed â©2020 fox news network llc rights reserved quotes displayed real-time delayed least 15 minutes market data provided factset powered implemented factset digital solutions legal statement mutual fund etf data provided refinitiv lipper seems clicked bad link stumbled upon 404 page material may published broadcast rewritten redistributed â©2020 fox news network llc rights reserved quotes displayed real-time delayed least 15 minutes market data provided factset powered implemented factset digital solutions legal statement mutual fund etf data provided refinitiv lipper,"{'neg': 0.08, 'neu': 0.849, 'pos': 0.071, 'compound': -0.4404}",2017-11-08 19:28:00,Pence tells Texas shooting victims 'we will never leave your side',"politics and government,united states politics and government,armament, defense and military forces,united states armament and defense",1092,http://www.foxnews.com/,right,not-related,
827,https://www.bloomberg.com/news/articles/2017-11-06/trump-calls-church-shooting-act-of-evil,continue please click box let us know 're robot please make sure browser supports javascript cookies blocking loading information review terms service cookie policy inquiries related message please contact support team provide reference id,"{'neg': 0.059, 'neu': 0.614, 'pos': 0.327, 'compound': 0.8689}",2017-11-05 21:36:48,"Trump: Texas Mass Shooting Is About Mental Health, Not Guns",,40944,http://bloomberg.com,center,not-related,
701,https://www.salon.com/2017/11/07/the-far-right-fantasized-about-a-gun-battle-with-antifa-but-got-another-mass-killer-in-texas_partner/,"article originally appeared alternet living sick times make mistake group obsessed violence worships firearms defends gun rights end fantasizes civil strife far right late sunday everyone across america tv internet connection heard latest mass gun-led slaughter time church texas twenty-six people killed may die critical injuries gunman washington post reported monday military veteran dishonorably discharged history domestic abuse apparently mother-in-law attended targeted church reaction texas republican politicians would expect said people carried guns church would ended carnage president trump said tragedy nothing guns infowars said shooter denied gun permit raise tired nra talking point good people legally access weapons bring infowars one irresponsible repulsive right-wing propagandist sites serious moment like america lurches one crisis next going weeks hurricanes fires nuclear war threats health care repeal another mass shooting forget right-wing crazies hoping would happen past weekend eagerly anticipating different conflagration saturday supposed start another apocalyptic showdown secular far right domestic version modern end times leftist anti-war group refuse fascism planning rallies blue cities states across america far right went nuts telling saw online messaging get guns get ready washington post noted last wednesday might well light year away today saturation crisis news environment infowars warned antifa plans civil war overthrow government. john birch society put two recent videos warning americans stay home tell children likewise saturday youtuber glock fanboy notched 400,400 views clip raising alarm first day revolution whatnot report continued honestly happy youtuber told followers dude verge great war seems like forever ready get going. skip fact yes fact hashtag civilwar2017 instead focus ready get going fantasy separates sutherland springs shooter yahoos ready get going obviously post mainstream media reported imposing violence long practice scale shooting dozens instead targeting solitary domestic victims answer separates fantasize violence pull trigger thin trump era already thin skin civilized behavior stretched tearing breaking point people may say america always violent true era dark side last weekend showcased post report last week anticipated antifa conflagration happen quoted youtube clips went viral end game martial law one video warns provoking republicans patriots whatever huge battle whether fighting whether guns throw arms say told violent .they want us weapons government commence martial law believe serious gun control-slash-confiscation. post report continued make sure got enough ammo make sure guns ready another poster advised clip 110,000 views understand vicious vicious people life means nothing fact white man deserve live. infowars provocateur alex jones announced video antifa going lose november 4 every day bunch meth-head pieces crap. swarm messaging vile repugnant sick fantasyland many people anticipating embracing armed conflict using cloistered microphones online platforms urge others ready violent shoot first new normal trump america good healthier saner people grimace country latest mass shooting wring hands know meaningful federal response via new gun controls acknowledge happening america violence growing cultural political vocabulary news reports keep battering public one crisis another missing restraint voices reason perspective knowing difference dark fantasy tragic realities difference far right provocateurs sutherland springs shooter little stepping squeezing trigger steven rosenfeld editor chief correspondent voting booth project independent media institute reported national public radio marketplace christian science monitor radio well wide range progressive publications including salon alternet american prospect many others copyright 2021 salon.com llc reproduction material salon pages without written permission strictly prohibited salon ® registered u.s. patent trademark office trademark salon.com llc associated press articles copyright 2016 associated press rights reserved material may published broadcast rewritten redistributed","{'neg': 0.235, 'neu': 0.663, 'pos': 0.102, 'compound': -0.9983}",2017-11-07 11:14:35,"The far-right fantasized about a gun battle with Antifa, but got another mass killer in Texas","politics and government,united states politics and government,gun control,firearms,murders and attempted murders",1757,http://www.salon.com/,left,not-related,
178,http://www.billboard.com/articles/columns/country/8023333/rodney-crowell-kelsea-ballerini-ascap-country-music-awards,billboard pro follow billboard billboard 2021 billboard media llc rights reserved billboard registered trademark billboard ip holdings llc kelsea ballerini attends 55th annual ascap country music awards ryman auditorium nov. 6 2017 nashville singer songwriters rodney crowell kelsea ballerini hit country songwriter ashley gorley honored ascap country music awards nashville tennessee monday crowell announced earlier year cancelling 2017 tour dates due health issue given founder award honored performances keith urban vince gill multiple grammy award-winner turned 67 year announced twitter last month diagnosed dysautonomia disorder automatic nervous system rodney crowell crowell said grateful songwriter long gift get work call artists crowell said gill performed oklahoma borderline till gain control told crowd songwriters time crowell dressed women music video together looked like bette davis crack cocaine gill joked looked like granny. ballerini whose second album unapologetically came last week given vanguard award performed song between. also nominated female vocalist year wednesday country music association awards songwriting favorite part ballerini said mass shooting country music festival las vegas last month weighed heavy minds artists songwriters monday night nashville musical community gears cma awards ascap president paul williams held moment silence 58 victims killed las vegas greater challenge music diminishing hatred heart acts williams said believe music make task. gorley written hits blake shelton thomas rhett many thanked first responders scene vegas shooting sunday shooting church texas responders people really really deserve celebrated may get celebrated way tonight want celebrate tonight together gorley said matthew ramsey lead singer country band old dominion named country songwriter-artist year song somewhere beach performed dierks bentley named country song year daily briefing matters music industry 2021 billboard media llc rights reserved billboard registered trademark billboard ip holdings llc,"{'neg': 0.052, 'neu': 0.739, 'pos': 0.209, 'compound': 0.994}",2017-11-07 03:45:39,Rodney Crowell and Kelsea Ballerini Honored at ASCAP Country Music Awards,"recordings (audio),music",19194,http://www.billboard.com,center,not-related,946496
311,http://rss.cnn.com/~r/rss/cnn_topstories/~3/vWfrUXqvtDA/2738053-las-vegas-knights-honor-shooting-victims-1st-responders-in-home-opener,vegas golden knights used pregame ceremony inaugural home opener tuesday night honor 58 victims mass shooting occurred las vegas music festival oct. 1 team relayed video ceremony t-mobile arena featured first responders escorting players onto ice hockey players led onto ice real heroes vegasstrong https //t.co/tub4uioeag espn.com charles moynihan reported victims names emblazoned ice puck dropped arizona coyotes nhl nbc sharing image puck drop tonight ceremonial puck drop conducted survivors las vegas tragedy vegasstrong https //t.co/tly3gobq6l espn.com arash markazi noted 58-second moment silence honor lost lives 58 seconds silence tonight vegas golden knights game 58 victims last week mass shooting las vegas https //t.co/uf1lk2r4fk furthermore markazi noted team opted show advertisements side boards instead spaces filled words vegas strong needless say going typical opener golden knights general manager george mcphee said game according las vegas sun jesse granger 'll save friday tonight us honoring remembering victims supporting families recognizing first responders golden knights went beat coyotes 5-2 team sharing video celebrations inside t-mobile arena healing city gets back feet vegasstrong https //t.co/vr8gbfahmx vegas 3-0-0 start inaugural season enjoy content join newsletter get latest sports news delivered straight inbox enjoy content join newsletter get latest sports news delivered straight inbox,"{'neg': 0.084, 'neu': 0.725, 'pos': 0.191, 'compound': 0.9769}",2017-10-11 05:17:02,Las Vegas NHL team has emotional inaugural opening,,1095,http://www.cnn.com/,Center Left,not-related,946496
183,https://www.wired.com/story/mass-shootings-climate-discrimination-why-governments-fear-of-data-threatens-us-all,"revist article visit profile view saved stories revist article visit profile view saved stories adam rogers revist article visit profile view saved stories revist article visit profile view saved stories aftermath massacre 26 people small-town texas church might seen killer used gun called ar-15 popular weapon—relatively easy use endlessly customizable military appearance popular gun killer used massacre 58 people las vegas concert last month killer murdered 49 people nightclub orlando one elementary school newtown connecticut movie theater aurora colorado party san bernardino california oh wait also gun apparently someone texas used shoot back killer first baptist church accurately enough pinpoint places tactical vest protect keep hearing ar useless self-defense simply weapons war useful mass killing simply true writes david french national review save lives inside church french goes say straight-from-the-gun-advocate-storybook good guy gun stop shooter prevented harming anyone else exactly kind weapon gun control lobby would like deny law-abiding americans. well ok. good question possible ar-15 overpowered long gun beloved national rifle association necessary component civilian defense absence armed authorities somebody figure right except government keep track many ar-15s owns painstaking excavation crime reports could anyone even begin figure crimes involved ar-15s ar-15s stopped crimes—much less ars came stored modified data either off-limits simply exist easy access kind data motor vehicle crashes firearm violence would able answer much clearly whole host questions gun policy—about state laws working storage practices work guns riskier others ammunition sizes magazines matter could go says jon vernick codirector johns hopkins center gun policy research already world science questioned particular role science policymaking one realistic thinks science sufficient good policymaking clearly necessary. see lack—or rather see guess—with guns comes every mass shooting rarely people talk epidemic suicides accidental gun deaths united states data void growing like ozone hole 1980s encroaching big nothing washington post politics reporter philip bump updating list things president trump undone office eye-popping number numbers oil gas company payments foreign governments corporate salaries organized race gender employer records workplace injuries government contractor labor law violations health effects mountaintop-removal mining safety issues chemical plants visitors white house want know things one realistic thinks science sufficient good policymaking clearly necessary jon vernick johns hopkins center gun policy research would like detailed information arrests homicides gang murders 2016 well fbi giving anymore melting arctic ice nope congress dismantling satellite supposed update aging monitor network climate change scott pruitt head environmental protection agency think human beings cause importantly really think measure anything find weather forget national weather service coming apart seams many people live united states data critical determining political representation funding priorities yeah no—the 2020 census shaping epic disaster hard imagine good argument knowing less—about anything really especially difficult problems profound policy implications government supposed base policy best data possible along political concerns budget concerns social priorities ... usual warp weft running country yet trump administration running direction data even faintest whiff potential contradiction goes right window course folks first people power succumb fear data however seem found profound expertise practice eliminating dataphobia chills bone suspect hope undermine truths truth david roberts vox written calls epistemic crisis america idea certain rulers rich people hope take away basic idea knowledge nobody know anything bother try regulate anything government-by-ignorance—a shrugocracy assaults data come reason oil company want research climate change tobacco company want research relationship tobacco cancer vernick says maybe argue researchers agenda allow cook books absurd argument worst thing cook books way guarantee science used part policymaking. throw way automotive industry resisted safety regulations sugar industry 1960s shifted blame health problems onto fats instead sweets ensorcelling nutrition research half century pretty good accounting ways business interests twisted biased otherwise hammered science behaving like corporate drone instead defender truth comes guns data dearth goes back decades mid-1990s national rifle association persuaded congress prohibit centers disease control prevention funding firearm violence research chilled entire federal science funding structure agency regulates firearms even share researchers data guns traced crimes interests committed obfuscating situation making difficult conduct work magnitude effect probably unique firearm violence says garen wintemute director violence prevention research program uc davis doubt mind hundreds thousands dead people would alive work allowed proceed. though even stands risk undermining data anymore abandoning collection called undercurrent even sure undercurrent anymore clearly assault science worries quite bit climate denialism suffered three catastrophic hurricanes one put city underwater state texas 50,000 kids getting vaccinated totally phony reasons says peter hotez dean national school tropical medicine baylor college medicine starting affect quality life important policy decisions made need made correctly. might disagree hotez though—because going far enough attack idea science notion science good way know stuff observe world around formulate idea world might way develop test isolates one factor tests operate data collect figure bears original idea pummel idea ways might wrong survives hey awesome misunderstand universe slightly less egregiously work night little less dark abdicating collection data cuts method knees plants ignorance might knowledge worse makes science look weak induced failure—as like propagandists say press irredeemably biased leftist researchers trusted night stay dark people stop believing daylight anyone suggests real must daylight-based agenda epistemological crisis since enlightenment people relied science senses referee help make difficult calls especially true america—one preeminent scientists time benjamin franklin literally room creation declaration independence constitution changing undermine science things seem unknown unknowable science danger sarah zhang joanna pearlstein maryn mckenna according information warfare expert molly mckew russian government practicing something called gerasimov doctrine threading chaotic contradictory often false always divisive information throughout global media—mainstream alt social whatever point make one person believe one thing make people believe none things roberts wrote vox policymaking becomes nothing contest raw power— tribal epistemology calls real danger practice science add perhaps naive romanticism journalism supposed arenas non-practitioner turn knowledge clarity confronted crisis—in reproducibility findings—the institutions science turned part data hygiene making complete datasets public practice journal hotez edits president corporate allies choke life data shrugocracy turns shrugpocalypse point view people attempting obstruct acquisition knowledge making substrate knowledge acquired unavailable hard get lower quality yields many benefits wintemute says adverse effects rest us benefits people obstruction. might vexing scientists ones best trained acquiring knowledge field faith methods justifications see patients emergency department took oath—and much deeper reasons—i believe strongly using life help relieve suffering wintemute says make use whatever tools available whatever tools fashion work continue frustrating could better tools fact argument have. knowledge always power one ever gives power willingly sometimes take featured video numbers lie america got gun addiction america gun addiction bad understand bad got see numbers wired tomorrow realized essential source information ideas make sense world constant transformation wired conversation illuminates technology changing every aspect lives—from culture business science design breakthroughs innovations uncover lead new ways thinking new connections new industries wired contact 2021 condé nast rights reserved use site constitutes acceptance user agreement privacy policy cookie statement california privacy rights wired may earn portion sales products purchased site part affiliate partnerships retailers material site may reproduced distributed transmitted cached otherwise used except prior written permission condé nast ad choices","{'neg': 0.197, 'neu': 0.65, 'pos': 0.153, 'compound': -0.9974}",2017-11-07 07:00:00,"After the Texas Mass Shooting, We Can't Afford to Wage War on Science Any More ",,39849,http://www.wired.com/,,not-related,946496
750,http://www.foxnews.com/politics/2017/11/05/texas-church-shooting-trump-politicians-react.html,material may published broadcast rewritten redistributed ©2021 fox news network llc rights reserved quotes displayed real-time delayed least 15 minutes market data provided factset powered implemented factset digital solutions legal statement mutual fund etf data provided refinitiv lipper constable tells fox news authorities responded active shooter situation wake mass shooting first baptist church sutherland springs texas least 20 feared dead president donald trump lawmakers reacted social media trump said fbi law enforcement scene vice president mike pence wrote stands evil first lady melania trump also posted thoughts twitter ivanka trump tweeted america hearts breaking victims texas senator ted cruz expressed support brave first responders scene sen. john cornyn texas asked twitter followers prayers texas gov greg abbott wrote twitter prayers harmed evil act thanks law enforcement response house speaker paul ryan tweeted reports texas devastating u.s ambassador united nations nikki haley tweeted well former texas governor current secretary energy rick perry also sent condolences online senate majority leader mitch mcconnell offered thoughts behalf wife transportation secretary elaine chao get stories need-to-know powerful name news delivered first thing every morning inbox subscribed 've successfully subscribed newsletter material may published broadcast rewritten redistributed ©2021 fox news network llc rights reserved quotes displayed real-time delayed least 15 minutes market data provided factset powered implemented factset digital solutions legal statement mutual fund etf data provided refinitiv lipper,"{'neg': 0.114, 'neu': 0.767, 'pos': 0.119, 'compound': -0.5719}",2017-11-05 16:30:00,"Texas church shooting: Trump, politicians react",,1092,http://www.foxnews.com/,right,not-related,
882,https://www.newsbusters.org/blogs/culture/matt-philbin/2017/10/12/hollywood-homicide-108-automatic-weapons-blaze-away-4-top,mission media research center create media culture america truth liberty flourish mrc research education organization operating section 501 c 3 internal revenue code contributions mrc tax-deductible 2005-2021 media research center rights reserved connect sign nb daily newsletter receive latest news last week stephen paddock killed least 59 las vegas concert-goers using automatic weapons reportedly aided bump stocks made semi-automatic rifles automatic weapons killing spree worst u.s. history people understandably horrified able fire amounted machine guns crowd yet similar weapons fired movie theaters around country three top five movies box office featured characters blasting away automatic weapons two -- kingsman golden circle american assassin -- included many examples violence numbers difficult even count analysis top five movies theaters week attack sept. 22-28 showed incredible big-screen carnage including characters firing handguns employing wide range forms violence lego movie animated included tally four movies -- kingsman golden circle american assassin mother -- featured 589 incidents violence including 212 incidents gun violence total body count four least 192 least 108 times kind automatic weapon used guns fired many rounds rapidly accurate tally shots even shooters impossible underscore point kingsman trailer filled violence difficult tally 1 minute 56 second clip shows four scenes characters deploying several different automatic weapons well pistols lasso rockets popular films nation stephen paddock killing spree firing concert crowd police say automatic weapons four days later hollywood mogul harvey weinstein still thought could bluster deluge sexual abuse allegations declared would need place channel anger decided going give nra full attention. perfect hollywood ploy -- target guns media companies feed americans endless streams bloodshed latest numbers american movies give lie weinstein faux outrage entertainment media scapegoating tactic complain lax gun laws demonize national rifle association never accept possibility hollywood glamorization guns violence anything latest mass-shooting grim totals kingsman golden circle second installment hyper-violent james bond-style action franchise interestingly drug lord villain played none part-time gun control activist full-time hypocrite julianne moore besides 118 incidents gun violence 70 automatic weapons 164 acts types violence golden circle body slams punches explosions ripping limbs ripping vocal cords putting people meat grinders cannibalism lasso violence slicing people half eyes randomly exploding people heads product grisly body count 92 american assassin story rage-filled mitch rapp wants kill islamic terrorists killed fiancé beach attack eventually placed secret cia counterterrorism program assigned help stop nuclear bomb going way producing least 37 deaths least 81 instances gun violence 37 automatic weapons realistic hand-to-hand combat scenes account another 127 instances violence allegorical horror film mother kills 56 people explosions body slams punches people pushed stairs course crowd disemboweling eating baby 10 scenes featuring guns including one automatic weapon 30 instances violence body count sizeable 56 retread stephen king features three scenes guns movie makes use penetrating captive bolt pistol slaughterhouse tool used horrifying effect country old men otherwise offers stabbings bludgeoning clown biting arm child strong hints female lead sexually abused father total acts violence 56 body count 7 numbers lie first time real bloodbath mirrored silver screen 2013 mrc culture study showed five top grossing movies time sandy hook school shooting generating another staggering amount violence five top grossing box office movies weekend jan. 11 zero dark thirty haunted house gangster squad django unchained les miserables even presence pg-13 musical les miserables spoof comedy haunted house violent bloody weekend movies -- 65 scenes violence 38 guns 185 people victimized standard response hollywood denial blame-shifting take pornographer violence quentin tarantino soon sandy hook shooting npr terry gross asked whether massacre 26 people made lose taste movie violence director got angry yeah 'm really annoyed tarantino acknowledged think disrespectful … memory people died talk movies obviously issue gun control mental health reported eonline obviously even liberals beginning admit hollywood addiction violence unhealthy rest us writing huffington post michael rosenblum asks readers given standard entertainment fare really surprised stephen paddock decides sort thing las vegas think got idea rosenblum continues spending five hours day every day day day year year watching thousands people getting killed tv movies video games impact ... inures us gun violence makes seem almost normal behavior instructs us. hollywood figure 2014 admitted responsibility violence offer choose movies violent violent used know personally continue change starts already. insider harvey weinstein breitbart pointed recently next year weinstein produced hateful eight mission media research center create media culture america truth liberty flourish mrc research education organization operating section 501 c 3 internal revenue code contributions mrc tax-deductible company mrc programs legal features connect sign nb daily newsletter receive latest news 2005-2021 media research center rights reserved,"{'neg': 0.289, 'neu': 0.645, 'pos': 0.067, 'compound': -0.9997}",2017-10-12 08:45:54,Hollywood Homicide: 108 Automatic Weapons Blaze Away in 4 Top Movies,,1125,http://newsbusters.org,right,not-related,946496
294,http://rss.cnn.com/~r/rss/money_topstories/~3/M8C9S33VmUs/index.html,sell shares plunged 30 thursday reported double-digit drop quarterly sales ceo christopher metz started month ago said company reduced workforce quickly shook leadership one metz first actions replace executive charge shooting sports division company also let go 562 employees 10 workforce according company spokeswoman amanda covington much said metz earnings call thursday must make significant changes must act quickly vista outdoor vsto least 50 brands including savage arms produces ar-15 style rifles vista primarily ammo manufacturer boasts half dozen brands bullets including federal premium speer ammo accounts 40 products according rommel dionisio gun industry analyst aegis capital remain high retailer inventory levels ammunition prompted major players vista outdoor begin discounting promoting recent months said dionisio naturally hurt profit margins near-term stephen nolan chief financial officer vista blamed 14 drop sales discounted ammunition challenging market conditions persisted longer previously expected sales guns ammunition taken beating since president trump republican endorsed national rifle association elected related ruger ar-556 rifle used texas church massacre many gun manufacturers retailers bet hillary clinton winning presidency stockpiled guns ammo prior election year ago assumption clinton gun control policy would drive sales throughout campaign trump ascendance diminished fears among gun owners guns would taken away therefore dampened sales guns ammunition retail wholesale channels built additional inventories anticipation post-election surge said nolan earnings call surge failed materialize therefore channel working way excess inventories first half vista outdoor fiscal year ended october 1 day deadliest mass shooting u.s. history gunman las vegas used ar-15 style rifles fitted bump stocks kill 58 people wound hundreds related gun industry feeling long trump hangover background checks conducted federal bureau investigation loosely tracks nationwide gun sales notched 3 october compared month still nearly 8 october 2016 final weeks presidential campaign nolan said expect market return growth 18 months stock quote data provided bats market indices shown real time except djia delayed two minutes times et disclaimer morningstar 2019 morningstar inc. rights reserved factset factset research systems inc.2019 rights reserved chicago mercantile association certain market data property chicago mercantile exchange inc. licensors rights reserved dow jones dow jones branded indices proprietary calculated distributed marketed dji opco subsidiary p dow jones indices llc licensed use p opco llc cnn standard poor p registered trademarks standard poor financial services llc dow jones registered trademark dow jones trademark holdings llc content dow jones branded indices p dow jones indices llc 2019 and/or affiliates cable news network warner media company rights reserved cnn sans™ 2016 cable news network,"{'neg': 0.115, 'neu': 0.829, 'pos': 0.056, 'compound': -0.9803}",2017-11-09 13:48:21,Vista Outdoor's guns and ammo sales tank under Trump,,1102,http://money.cnn.com/,,not-related,946496
