,url,text,publish_date,title,themes,media_id,media_url
0,https://www.boston.com/news/politics/2017/06/27/sarah-palin-sues-new-york-times-for-tying-her-pac-ad-to-mass-shooting,"By Associated Press   NEW YORK (AP) — Former vice presidential nominee and Alaska governor Sarah Palin is accusing The New York Times of defamation over an editorial that linked one of her political action committee ads to the mass shooting that severely wounded then-Arizona Congressman Gabby Giffords. In the lawsuit filed in Manhattan federal court Tuesday, Palin’s lawyers say the Times “violated the law and its own policies” when it accused her of inciting the 2011 attack that killed six people. The lawsuit refers to a June editorial in the Times on the recent shooting of Louisiana Congressman Steve Scalise. The editorial was later corrected.   Palin is seeking damages to be determined by a jury. A spokeswoman for the Times, Danielle Rhoades Ha, says they haven’t seen the lawsuit but will defend against any claim vigorously.  ©2021 Boston Globe Media Partners, LLC  Stay up to date with everything Boston. Receive the latest news and breaking updates, straight from our newsroom to your inbox. ",2017-06-27 20:48:20,Sarah Palin sues New York Times for tying her PAC ad to mass shooting,,15,https://www.bostonglobe.com/
1,http://www.startribune.com/politics/national/431196223.html,"We’re sorry. The page you were looking for couldn’t be found, or may have been moved. Try searching again Report a broken link Go back to the home page Visit our site index © 2021 StarTribune. All rights reserved.",2017-06-27 20:55:16,Sarah Palin sues paper for tying her PAC ad to mass shooting,,19,http://www.startribune.com/
2,http://feedproxy.google.com/~r/time/topstories/~3/nspjKzuxXZ0/,Looks like we can't find what you're looking for. See if you can find it on the homepage or try searching below!,2017-06-27 23:49:40,Sarah Palin Is Suing the New York Times Over an Editorial She Says Defamed Her,,40362,http://www.time.com/time/
3,http://rssfeeds.azcentral.com/~/378436228/0/phoenix/nation~Sarah-Palin-sues-New-York-Times-over-editorial/,"NEW YORK - Former vice presidential nominee and Alaska governor Sarah Palin is accusing The New York Times of defamation over an editorial that linked one of her political action committee ads to the mass shooting that severely wounded then-Arizona Congresswoman Gabby Giffords. In the lawsuit filed in Manhattan federal court Tuesday, Palin’s lawyers say the Times “violated the law and its own policies” when it accused her of inciting the 2011 attack that killed six people. The lawsuit refers to a June editorial in the Times on the recent shooting of Louisiana Congressman Steve Scalise. The editorial was later corrected. Palin is seeking damages to be determined by a jury. A spokeswoman for The New York Times, Danielle Rhoades Ha, says they haven’t seen the lawsuit but will defend against any claim vigorously. ",2017-06-28 01:35:35,Sarah Palin sues New York Times over editorial,,25128,http://www.azcentral.com
4,http://feedproxy.google.com/~r/uproxx/features/~3/tBFIqv5BSUI/,"The New York Times has published a piece that details how Sarah Palin is, well, suing the New York Times. The defamation lawsuit revolves around an editorial piece that was published on the same day of the recent shooting at a congressional baseball practice (which injured House Majority Whip Steve Scalise and others). In the legal papers, Palin alleges that the newspaper included a harmful statement about her that it “knew to be false.” The piece in question — called “America’s Lethal Politics” — drew connections between a Palin political ad and the 2011 mass shooting at an Arizona town hall meeting, which killed six people and wounded Democratic Rep. Gabby Giffords. The editorial further suggested that the massacre was prompted by political incitement due to the ad’s “cross hairs” illustration. Upon complaint from the former VP candidate and Alaskan governor, the paper published a correction, which Palin found inadequate: The editorial said there was a link between political incitement and the mass shooting in Arizona that severely wounded Representative Gabby Giffords and said that Ms. Palin’s “political action committee circulated a map of targeted electoral districts that put Ms. Giffords and 19 other Democrats under stylized cross hairs.” The Times later issued a correction, saying that there was no established link between political statements and the shooting and that the map circulated by Ms. Palin’s PAC had depicted electoral districts, not individual Democratic lawmakers, beneath the stylized cross hairs. As the New York Post points out, the correction was a particularly embarrassing one because the ad’s illustration was not as described in the editorial, which was easy enough to disprove. Further, there was no causal link established between Palin’s ad and the Giffords shooting because the gunman — Jared Loughner — had grown obsessed with the congresswoman beginning in 2007, long before Palin’s ad surfaced. At press time, the New York Times committed to “vigorously” defending itself against the suit. Below, you can see the lawsuit’s first page as posted on Twitter by CNN’s Jake Tapper. .@SarahPalinUSA suing @nytimes for editorial suggesting she incited Loughner attack on Gabby Giffords — pic.twitter.com/xwJqNECW4H — Jake Tapper (@jaketapper) June 27, 2017  (Via New York Times & New York Post)",2017-06-28 01:32:43,Sarah Palin Is Suing The New York Times,,68816,http://www.uproxx.com/#spider
5,http://www.cnbc.com/2017/06/28/sarah-palin-sues-paper-for-tying-her-pac-ad-to-mass-shooting.html," Former vice presidential nominee and Alaska governor Sarah Palin is accusing The New York Times of defamation over an editorial that linked one of her political action committee ads to the mass shooting that severely wounded then-Arizona Congressman Gabby Giffords. In the lawsuit filed in Manhattan federal court Tuesday, Palin's lawyers say the Times ""violated the law and its own policies"" when it accused her of inciting the 2011 attack that killed six people. The lawsuit refers to a June editorial in the Times on the recent shooting of Louisiana Congressman Steve Scalise (skuh-LEES'). The editorial was later corrected. Palin is seeking damages to be determined by a jury. A spokeswoman for the Times, Danielle Rhoades Ha, says they haven't seen the lawsuit but will defend against any claim vigorously. Got a confidential news tip? We want to hear from you. Sign up for free newsletters and get more CNBC delivered to your inbox Get this delivered to your inbox, and more info about our products and services. © 2021 CNBC LLC. All Rights Reserved. A Division of NBCUniversal Data is a real-time snapshot *Data is delayed at least 15 minutes. Global Business and Financial News, Stock Quotes, and Market Data and Analysis. Data also provided by",2017-06-28 03:15:00,Sarah Palin sues New York Times for tying her campaign ad to mass shooting,,1755,http://www.cnbc.com/
6,http://www.rttnews.com/story.aspx?Id=2788155,"Sarah Palin, former Alaska governor and vice-presidential candidate, filed a defamation lawsuit against The New York Times Co. on Tuesday for the alleged defamation in a recent editorial. In the lawsuit, which was filed in the United States District Court for the Southern District of New York, Palin stated that the editorial falsely portrayed her as responsible for inciting the 2011 shooting of Democratic Representative Gabby Giffords. According to her, The Times violated the law and its own policies when it linked her to the mass shooting. Palin is seeking more than $75,000 in damages, according to the lawsuit. The newspaper published the editorial online on June 14 in the wake of the shooting at a baseball field where Republican lawmakers were practicing for an annual charity game. Representative Steve Scalise, the House majority whip, was critically injured in that shooting.  The editorial cited a link between political incitement and the mass shooting in Arizona that severely wounded Giffords. The paper stated that Palin's ""political action committee circulated a map of targeted electoral districts that put Ms. Giffords and 19 other Democrats under stylized cross hairs."" Later, The Times issued a correction noting that there was no established link between Palin's ad and the shooting. It also stated that the map circulated by Palin's PAC had depicted electoral districts, not individual Democratic lawmakers. In the Twitter account also, the paper sent out the correction about the lack of a link, and apologized. In the lawsuit, Palin said that The Times's response ""did not approach the degree of the retraction and apology necessary and warranted by The Times's false assertion that Mrs. Palin incited murder."" For comments and feedback contact: editorial@rttnews.com Business News  Ten Most Valuable Companies In The US Biotech Stocks Facing FDA Decision In July 2021 Biotech Stocks Facing FDA Decision In June 2021",2017-06-28 07:10:53,Sarah Palin Sues New York Times For Defamation ,,29827,http://www.rttnews.com#spider
7,http://www.post-gazette.com/news/nation/2017/06/28/Palin-sues-New-York-Times-defamation-arizona-shooting/stories/201706280127,,2017-06-28 09:30:40,Sarah Palin sues New York Times for defamation over editorial on mass shooting,,45,http://www.post-gazette.com/
8,http://www.latimes.com/la-na-essential-washington-updates-sarah-palin-sues-the-new-york-times-for-1498660653-htmlstory.html,,2017-06-28 10:37:00,Sarah Palin sues the New York Times for tying her PAC ad to mass shooting,,6,http://www.latimes.com/
9,http://www.arkansasonline.com/news/2017/jun/29/names-and-faces-20150629/,"The requested page could not be found. Copyright © 2021, Arkansas Democrat-Gazette, Inc. All rights reserved. This document may not be reprinted without the express written permission of Arkansas Democrat-Gazette, Inc. Material from the Associated Press is Copyright © 2021, Associated Press and may not be published, broadcast, rewritten, or redistributed. Associated Press text, photo, graphic, audio and/or video material shall not be published, broadcast, rewritten for broadcast or publication or redistributed directly or indirectly in any medium. Neither these AP materials nor any portion thereof may be stored in a computer except for personal and noncommercial use. The AP will not be held liable for any delays, inaccuracies, errors or omissions therefrom or in the transmission or delivery of all or any part thereof or for any damages arising from any of the foregoing. All rights reserved.",2017-06-29 04:25:51,"Names and faces
",,56,http://www2.arkansasonline.com/
