Tweets,Attributes
Waking to the news of the senseless killings in Las Vegas.  My prayers to those injured &amp; to the families of those who've lost loved ones.,1
Please join Suzanne and I in prayer for the victims of this horrific act of violence in Las Vegas.,1
Our country is in mourning and our hearts ache for the lives lost in Las Vegas. My prayers to all touched by this senseless tragedy.,1
My prayers are with all of the victims and their families this morning in Las Vegas. Our first responders deserve thanks.,1
"Horrified by devastating violence in Las Vegas. My prayers are w/the injured, loved ones of those killed, 1st responders &amp; entire community",1
My thoughts are with all those effected in the horrifying attacks in Las Vegas. The nation is with you.,1
"It's been over two months since Las Vegas experienced the deadliest shooting in the country and the House has yet to take any meaningful action to reduce gun violence. Today,  I met with members of @Bradybuzz &amp; survivors of #October1. I will not let inaction become the norm.  https://t.co/JCnINVVW35",3
Murphy statement on Las Vegas shooting  https://t.co/hHCJShL0tj,0
"Our condolences and prayers are with the victims, friends, and family of those killed and injured in this horrific attack in Las Vegas.",1
My prayers are with the victims and families of the horrific shooting in Las Vegas.,1
Absolutely heartbroken to wake up to the news out of Las Vegas. My thoughts are with the victims and their families today.,1
Prayers for those who were killed or injured in Las Vegas and for their families and friends.,1
"Horrific and senseless shooting in Las Vegas. Praying for the victims, their families and all those affected.",1
"My prayers and thoughts are with the victims, families, first responders, and all affected by this horrific act of violence in Las Vegas.",1
"My statement on the terrible tragedy in Las Vegas, Nevada #PrayForVegas  https://t.co/YZB8Bw72UI  https://t.co/T8J05WDo4l",1
Our thoughts and prayers are with the victims of last night's horrific shooting in Las Vegas. You are in our hearts.,1
Our prayers are with all those affected by this unspeakable violence in Las Vegas.,1
Praying for the victims and families of last night's horrific tragedy in Las Vegas. Heartbreaking.,1
"There were undoubtably many heroes during the tragic event in Las Vegas, including first responders. We are grateful for their efforts.",1
"My family, staff, and I send our deepest thoughts &amp; prayers to all those affected by the tragic, senseless shooting in Las Vegas.",1
My thoughts and prayers are with the victims and families affected by the horrific shooting in Las Vegas.,1
"Im praying for all affected by the devastating, senseless mass shooting in Las Vegas. My heart goes out to the victims and their families.",1
(1/2): “My thoughts and prayers go out to all of the victims and their families of this horrific massacre in Las Vegas and....,1
WATCH: I highlighted ideas to help #EndGunViolence that #Congress should consider to keep American people safe #LasVegasShooting #GunControl  https://t.co/21CqmoZHJO,3
"America woke up to a horrific nightmare. We stand with the victims, their families and the city of Las Vegas as we face this act of terror.",1
Horrific news out of Las Vegas. My thoughts and prayers are with the victims and families of this senseless tragedy.,1
